matchid,team_home,team_home_id,score_home,team_away,team_away_id,score_away,mu_coach_player_all_t1,mu_coach_player_all_t2,mu_coach_player_suc_t1,mu_coach_player_suc_t2,mu_rel_all_t1,mu_rel_all_t2,mu_rel_suc_t1,mu_rel_suc_t2,seasonyear,mean_goals_t1_bin_5,mean_assists_t1_bin_5,mean_goals_t2_bin_5,mean_assists_t2_bin_5,mean_goals_t1_bin_3,mean_assists_t1_bin_3,mean_goals_t2_bin_3,mean_assists_t2_bin_3,mean_goals_t1_bin_1,mean_assists_t1_bin_1,mean_goals_t2_bin_1,mean_assists_t2_bin_1
2231408,borussia-dortmund,16,5,borussia-monchengladbach,18,0,68.833336,22.444445,43.333332,10.888889,30.784313,20.82353,20.339869,9.0522881,2012,1.4501443,.94228297,1.5285298,.69719011,1.2589262,1.0739791,1.3579935,.75970447,1.5685185,1.3592592,1.9861112,1.0707672
2231409,vfl-wolfsburg,82,1,spvgg-greuther-furth,65,1,23.222221,.83333331,10.444445,.5,7.8039217,.16993465,2.8692811,.05882353,2012,1.3772109,.866503,1.2184281,.84504551,1.3825034,.88066375,1.1870681,.97445142,1.8279101,1.175926,2.0375817,1.5098039
2231410,bayer-04-leverkusen,15,1,borussia-monchengladbach,18,1,3.2222223,24.944445,2.0555556,12.111111,27.973856,20.254902,13.196078,8.973856,2012,1.1752949,.87381333,1.0890317,.74756992,1.1237093,.90917617,.974922,.83818775,.89999998,.87962961,1.3157407,1.1587301
2231411,vfl-wolfsburg,82,0,1-fsv-mainz-05,39,2,21.5,35.722221,9.6111107,13.5,6.8169932,14.816994,2.3856208,5.4967322,2012,1.4154053,.92205852,.86211914,.62029582,1.420965,.94547862,.86405724,.78131038,1.8742063,1.3648148,.85648149,1.0046296
2231412,fc-bayern-munchen,27,3,vfl-wolfsburg,82,0,15.333333,22.555555,10.611111,10.166667,15.797385,7.3986926,9.9934645,2.7058823,2012,1.5686412,1.4736376,1.3549886,.96764255,1.6595056,1.599537,1.357812,.99408972,2.3537037,1.9074074,1.9556879,1.3981482
2231413,sv-werder-bremen,86,2,vfb-stuttgart,79,2,38.222221,34.888889,15.333333,16,9.4836597,30.287582,3.3856208,13.300653,2012,1.0316324,.74705982,1.0893108,.86110669,1.0217237,.75370371,1.2650577,.84795374,1.0050265,.76296294,1.4555556,.92962962
2231414,hamburger-sv,41,3,borussia-dortmund,16,2,13.277778,73.666664,3.3333333,46.333332,9.2156858,36.248367,2.4183006,23.61438,2012,1.438874,.71559322,1.395896,.99692279,1.2540753,.72206789,1.2483201,1.1480532,1.5564815,.7027778,1.5240741,1.3148148
2231415,sc-freiburg,60,5,tsg-1899-hoffenheim,533,3,11.833333,6.5,5,2.0555556,15.150327,8.0588236,5.4117646,2.7058823,2012,1.2996024,.78709668,.91419643,.61287326,1.1066029,.82731479,.9582414,.67341071,1.3851852,1.3388889,1.3239418,.97777778
2231416,vfb-stuttgart,79,0,fortuna-dusseldorf,38,0,34.166668,.27777779,15.555555,.055555556,29.69281,.1633987,12.738562,.039215688,2012,1.0054077,.79546088,1.2237816,1.1101581,1.1507479,.74711198,1.2850353,1.1967533,1.3703704,.83333331,1.0648148,1.5277778
2231417,borussia-monchengladbach,18,2,hamburger-sv,41,2,22.222221,13.277778,10.722222,3.3333333,19.392157,9.2156858,8.5686274,2.4183006,2012,1.5217801,.74543321,1.438874,.71559322,1.3962183,.83510131,1.2540753,.72206789,2.2601852,1.1448413,1.5564815,.7027778
2231418,fortuna-dusseldorf,38,0,sc-freiburg,60,0,.27777779,11.833333,.055555556,5,.37908497,15.150327,.084967323,5.4117646,2012,1.0985831,.71011394,1.2996024,.78709668,.99230021,.67958152,1.1066029,.82731479,.63425928,.54166669,1.3851852,1.3388889
2231419,borussia-monchengladbach,18,2,1-fc-nurnberg,4,3,22.222221,33.764706,10.722222,12.588235,19.392157,11.301471,8.5686274,4.4264708,2012,1.5217801,.74543321,1.0063998,.37570837,1.3962183,.83510131,1.144907,.49778244,2.2601852,1.1448413,.90784311,.65686274
2231420,tsg-1899-hoffenheim,533,3,hannover-96,42,1,5.8888888,45.235294,1.8888888,19.705883,8.2679739,29.279411,2.7712419,12.125,2012,1.1045163,.90782273,1.2310047,.84209126,1.1619451,.91018319,1.2632626,.99964988,1.5998677,1.212963,.98984593,.82352942
2231421,fc-augsburg,167,0,vfl-wolfsburg,82,0,0,22.722221,0,10.277778,3.9281046,7.6209149,1.0718955,2.8692811,2012,1.2124717,.56594497,1.4515698,.94352317,1.177403,.53842992,1.4639848,.95010823,.82592595,.4861111,2.0223546,1.2592592
2231422,spvgg-greuther-furth,65,0,fc-schalke-04,33,2,.83333331,13.166667,.5,7.4444447,.16993465,14.013072,.05882353,7.0392156,2012,1.2525896,.81299752,1.3471946,1.0760213,1.1844617,.91800046,1.2534187,1.0276387,2.0354939,1.5555556,1.3513889,1.1048942
2231423,fc-schalke-04,33,0,fc-bayern-munchen,27,2,13.166667,20.444445,7.4444447,13.166667,14.013072,14.69281,7.0392156,8.9150324,2012,1.3471946,1.0760213,1.4112338,1.1016332,1.2534187,1.0276387,1.5345056,1.3018939,1.3513889,1.1048942,2.1731482,1.7407408
2231424,eintracht-frankfurt,24,3,hamburger-sv,41,2,.33333334,12.722222,.16666667,3.1666667,5.2549019,7.3267975,1.5424837,1.9673202,2012,1.2398468,.83424884,1.4770948,.7381053,1.4206117,1.1070106,1.317898,.75712484,2.3055556,1.75,1.6120371,.74722224
2231425,hannover-96,42,3,sv-werder-bremen,86,2,43.055557,37.444443,18.777779,14.944445,25.065359,7.1830068,10.287581,2.4313726,2012,1.2358078,.87087059,1.1149658,.78495157,1.2411815,.97824073,1.0842237,.80231482,.93485451,.77777779,1.0050265,.81851852
2231426,1-fc-nurnberg,4,1,eintracht-frankfurt,24,2,33.277779,.33333334,12,.16666667,13.254902,5.2549019,4.5947714,1.5424837,2012,1.1175438,.56476837,1.2398468,.83424884,1.1528178,.57727075,1.4206117,1.1070106,1.0148149,.87037039,2.3055556,1.75
2231427,1-fsv-mainz-05,39,2,fc-augsburg,167,0,41.666668,0,15.5,0,16.470589,3.862745,5.6732025,1.0457517,2012,.90353441,.6372745,1.2124717,.56594497,.93627948,.78748322,1.177403,.53842992,.97222221,.7962963,.82592595,.4861111
2231428,borussia-dortmund,16,3,bayer-04-leverkusen,15,0,74.222221,3,46.833332,1.9444444,35.38562,27.313726,23.496733,12.836601,2012,1.4501443,.94228297,1.095048,.80529481,1.2589262,1.0739791,1.0119669,.84744775,1.5685185,1.3592592,.83518517,.8425926
2231429,fc-bayern-munchen,27,3,1-fsv-mainz-05,39,1,18.833334,37.388889,12.222222,13.722222,16.169935,20.366013,9.7973852,7.2745099,2012,1.405061,1.163352,.69130963,.54302686,1.4804933,1.3421717,.67982602,.67306519,2.0537038,1.6796297,.69907409,.6574074
