matchid,team_home,team_home_id,score_home,team_away,team_away_id,score_away,mu_coach_player_all_t1,mu_coach_player_all_t2,mu_coach_player_suc_t1,mu_coach_player_suc_t2,mu_rel_all_t1,mu_rel_all_t2,mu_rel_suc_t1,mu_rel_suc_t2,seasonyear,mean_goals_t1_bin_5,mean_assists_t1_bin_5,mean_goals_t2_bin_5,mean_assists_t2_bin_5,mean_goals_t1_bin_3,mean_assists_t1_bin_3,mean_goals_t2_bin_3,mean_assists_t2_bin_3,mean_goals_t1_bin_1,mean_assists_t1_bin_1,mean_goals_t2_bin_1,mean_assists_t2_bin_1
2223904,ogc-nizza,417,1,as-saint-etienne,618,1,3.2777777,24,1.6111112,8.833333,5.9346404,8.7189541,1.6470588,3.4183006,2012,.64327091,.44882306,.7154147,.48995373,.62660348,.48194414,.71865374,.55418372,.55277777,.43703705,.7953704,.63293654
2223905,fc-girondins-bordeaux,40,1,osc-lille,1082,1,37.055557,43.388889,15.611111,23.666666,31.202614,15.117647,14.601307,8.4509802,2012,.7353043,.63064814,.81215739,.70612049,.65227026,.65703148,.866225,.7405135,1.2254902,.88235295,.83915347,.6712963
2223906,fc-evian-thonon-gaillard,14171,0,fc-toulouse,415,4,0,47.294117,0,18.17647,6.5555553,18.036764,2.2287581,7.1764708,2012,.69961166,.55717838,.44151738,.36768377,.77009803,.62160897,.52517402,.40702614,.71960783,.51960784,.74509805,.627451
2223907,olympique-lyon,1041,1,stade-brest-29,3911,0,17.277779,0,8.7222223,0,14.137255,8.9019604,7.0326796,2.3986928,2012,.84979451,.49631962,.68223286,.38641551,.79916376,.44076797,.67613667,.42588985,.88829261,.43333334,.50185186,.34351853
2223908,es-troyes-ac,1095,1,olympique-marseille,244,0,6.7777777,1.8333334,1.6111112,.3888889,.11111111,17.738562,.03267974,6.7973857,2012,.85887283,.466838,.68858671,.44796786,.8307423,.5217554,.74565899,.52614826,.88529414,.55000001,.71124339,.5
2223909,ac-ajaccio,1147,0,sc-bastia,595,0,0,.27777779,0,.055555556,11.326797,.47058824,2.9738562,.13071896,2012,.74789208,.4318698,.72283423,.44262567,.73589063,.51726192,.74755245,.45026454,.8277778,.5324074,1.0185186,.69907409
2223910,as-nancy-lorraine,1159,1,fc-sochaux-montbeliard,750,1,22.388889,6.2777777,7.1111112,3.7777777,18.143791,11.411765,6.2091503,4.2875819,2012,.50518554,.30687433,.5284754,.3649368,.54496646,.35620916,.55345696,.40553814,.95098037,.38235295,.54817927,.30882353
2223911,fc-stade-rennes,273,1,stade-reims,1421,0,34.555557,0,14.111111,0,11.640523,.52287585,4.8888888,.1503268,2012,.66868216,.48578465,.70074481,.29803699,.63620329,.54499757,.79081893,.31199294,.65709877,.57037038,1.6898148,.62962961
2223912,stade-brest-29,3911,2,fc-lorient,1158,0,0,51.333332,0,15.222222,7.9215684,13.431373,2.0718954,3.6993463,2012,.80507237,.38901523,.52473682,.36573821,.84941107,.4204866,.54052031,.42026815,.53888887,.25092593,1.0703703,.8888889
2223913,olympique-lyon,1041,5,sc-bastia,595,2,19.333334,0,9.7222223,0,17.627451,.31617647,8.7320261,.05882353,2012,.90501368,.57180983,.67025584,.45395657,.8327772,.5090453,.74460733,.4767507,.8980965,.44313726,.99509805,.74019605
